Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
55.5,1487.42,1.62,1.605,10.8994,34.242846,30.3328,10.8992,5.38238,164.394,1023.1684
55.75,1487.42,1.626,1.611,10.8998,34.243699,30.3333,10.8996,5.39184,164.683,1023.1687
56,1487.42,1.652,1.637,10.8997,34.241993,30.3318,10.8995,5.39097,164.657,1023.1676
56.25,1487.41,1.686,1.671,10.8983,34.240775,30.3317,10.8981,5.39009,164.63,1023.1679
56.5,1487.41,1.711,1.695,10.8979,34.240958,30.3322,10.8977,5.39221,164.694,1023.1685
56.75,1487.42,1.722,1.706,10.8986,34.240958,30.3316,10.8984,5.38876,164.589,1023.168
57,1487.42,1.715,1.699,10.8998,34.241993,30.3316,10.8996,5.38972,164.619,1023.1678
57.25,1487.42,1.693,1.677,10.901,34.244125,30.3328,10.9008,5.39077,164.651,1023.1684
57.5,1487.43,1.669,1.654,10.9019,34.243881,30.3318,10.9017,5.39703,164.842,1023.1673
57.75,1487.43,1.655,1.64,10.9027,34.244125,30.3313,10.9025,5.39265,164.708,1023.1668
58,1487.43,1.656,1.641,10.9036,34.244125,30.3306,10.9034,5.40668,165.137,1023.1661
58.25,1487.43,1.667,1.651,10.904,34.242419,30.3286,10.9038,5.39911,164.906,1023.1645
58.5,1487.43,1.675,1.66,10.9033,34.242663,30.3295,10.9031,5.40418,165.061,1023.1653
58.75,1487.42,1.677,1.661,10.9024,34.240653,30.3282,10.9022,5.39621,164.817,1023.1645
59,1487.42,1.676,1.661,10.9014,34.23846,30.3268,10.9012,5.39536,164.791,1023.1636
59.25,1487.41,1.678,1.663,10.9007,34.236329,30.3254,10.9005,5.39373,164.742,1023.1626
59.5,1487.42,1.684,1.668,10.9023,34.237851,30.3255,10.9021,5.38937,164.609,1023.1625
59.75,1487.43,1.686,1.671,10.9058,34.237851,30.3226,10.9056,5.39023,164.635,1023.1596
60,1487.44,1.688,1.672,10.9095,34.237607,30.3194,10.9093,5.39923,164.911,1023.1565
60.25,1487.45,1.682,1.666,10.9144,34.237606,30.3153,10.9142,5.4075,165.164,1023.1524
60.5,1487.46,1.675,1.66,10.92,34.235718,30.3088,10.9198,5.40977,165.234,1023.1464
60.75,1487.47,1.671,1.656,10.9228,34.234682,30.3055,10.9226,5.4131,165.336,1023.1434
61,1487.47,1.669,1.654,10.9228,34.234499,30.3053,10.9226,5.40594,165.118,1023.1432
61.25,1487.47,1.673,1.658,10.9219,34.234256,30.3058,10.9217,5.41187,165.299,1023.1438
61.5,1487.46,1.684,1.669,10.9204,34.233829,30.3066,10.9202,5.4111,165.275,1023.1447
61.75,1487.46,1.699,1.683,10.9188,34.234256,30.3083,10.9186,5.41107,165.274,1023.1463
62,1487.46,1.708,1.692,10.9178,34.235109,30.31,10.9176,5.40585,165.114,1023.1478
62.25,1487.45,1.722,1.706,10.9161,34.234074,30.3104,10.9159,5.41989,165.543,1023.1485
62.5,1487.45,1.734,1.718,10.9143,34.232612,30.3105,10.9141,5.4169,165.452,1023.149
62.75,1487.44,1.749,1.733,10.9122,34.233222,30.3128,10.912,5.42675,165.752,1023.1512
63,1487.44,1.777,1.761,10.9113,34.233222,30.3135,10.9111,5.42629,165.738,1023.152
63.25,1487.44,1.819,1.802,10.9105,34.237181,30.318,10.9103,5.41366,165.352,1023.1559
63.5,1487.43,1.873,1.855,10.9055,34.237182,30.3222,10.9053,5.41297,165.33,1023.1602
63.75,1487.42,1.936,1.918,10.8997,34.237609,30.3273,10.8995,5.41202,165.3,1023.1655
64,1487.41,2,1.981,10.896,34.241812,30.3345,10.8957,5.40108,164.965,1023.172
64.25,1487.41,2.059,2.04,10.8944,34.243092,30.3371,10.8941,5.39921,164.908,1023.1745
64.5,1487.41,2.115,2.096,10.8938,34.24431,30.3387,10.8936,5.39805,164.872,1023.1761
64.75,1487.42,2.164,2.144,10.8939,34.245589,30.3399,10.8936,5.40317,165.028,1023.1773
65,1487.41,2.205,2.184,10.8925,34.24559,30.341,10.8923,5.39884,164.896,1023.1785
65.25,1487.41,2.243,2.223,10.8891,34.246869,30.3451,10.8888,5.4096,165.224,1023.1825
